ds,yhat,yhat_lower,yhat_upper
2018-04-22,13178.711678616175,7685.587930250785,19292.275393516524
2018-04-23,13185.236851593669,7146.8528455164505,19134.40122676144
2018-04-24,13028.753580145238,7000.244258986992,18833.178277714305
2018-04-25,13010.224287207424,7285.307057112324,19000.059260591293
2018-04-26,12831.117169978905,6437.494169060957,18669.10376958777
2018-04-27,12755.606934991018,6769.910010758542,18649.99465528728
2018-04-28,12601.617569353255,6506.672782217928,18687.94171183945
2018-04-29,12507.128338015147,6542.698129904555,18517.438472054964
2018-04-30,12499.84841149233,6690.531102592343,18090.47690706764
2018-05-01,12324.88925762503,6695.687546150497,18313.223681307718
2018-05-02,12283.38616952611,6247.64548881439,18290.975453711693
2018-05-03,12077.15589831993,5832.039400298436,17522.961673100683
2018-05-04,11970.885964057783,6298.182660166363,18273.1656004444
2018-05-05,11783.161240070956,5852.531153937684,17759.103497332744
2018-05-06,11652.749479378974,5762.003553624451,17663.959489256253
2018-05-07,11608.211817437874,5547.181303993322,16965.36135027169
2018-05-08,11395.667906551098,5283.231777505865,17335.365024771414
2018-05-09,11317.2681748471,5651.824847171961,17484.16870326779
2018-05-10,11075.860665574055,5155.007150382873,17450.599838434966
2018-05-11,10937.14907152527,4781.436606548723,17007.72319701402
2018-05-12,10720.688405099867,4306.3813013303625,16549.081596691496
2018-05-13,10566.14083974275,5043.309303041642,17027.920815572088
2018-05-14,10502.858587829212,4695.220752411349,16218.353941458674
2018-05-15,10277.62424227379,4955.140917978951,16246.482892385686
2018-05-16,10193.101767060765,4274.318961875507,15919.745675476906
2018-05-17,9952.486186551378,3809.9574684379704,15717.919757356145
2018-05-18,9821.649068554496,4114.58331523426,16164.623991678967
2018-05-19,9620.126595262542,3965.751465676708,15834.188637662866
2018-05-20,9487.372975724289,3107.4678509091264,15453.370028358624
2018-05-21,9452.346141779475,3328.4826402179165,14881.495062172853
2018-05-22,9261.256088962578,3122.8124080457915,15048.283373007607
2018-05-23,9216.028841466925,3381.556982682929,15270.531864704926
2018-05-24,9018.973750664876,2993.0023868338285,14970.102229670998
2018-05-25,8934.950757210427,2532.0109208364643,14441.363815522904
2018-05-26,8782.38383422218,2549.3878499548723,14372.75549434736
2018-05-27,8699.542692849645,2863.043314587188,14388.607964987694
2018-05-28,8714.158942422684,3145.1860548899954,15357.392124502378
2018-05-29,8571.206259891387,2495.7448236360947,14669.702874157549
2018-05-30,8571.396705601644,3195.2284056477474,14288.044341044857
2018-05-31,8415.88004011569,2465.0379140404216,14475.829058961908
2018-06-01,8368.441827409197,2528.257725956058,14484.21901795291
2018-06-02,8246.545729672687,2492.239749905893,14308.148856453168
2018-06-03,8187.641316562349,2324.9683208657407,13859.920621481599
2018-06-04,8218.802896247278,2539.007923282836,14078.044613665303
2018-06-05,8084.528329414456,1889.0514541113484,13856.71099078239
2018-06-06,8085.24947621844,2202.771724050189,13997.671356176817
2018-06-07,7922.040762537508,2223.434805942684,14424.718581366948
2018-06-08,7858.821410249703,2027.6004167709461,13713.995311926968
2018-06-09,7713.396629412957,2063.680513454753,13820.853741859353
2018-06-10,7623.759123147398,1744.2999062776046,13840.584668213201
2018-06-11,7617.716574189152,1674.1114788624884,13408.133539032155
2018-06-12,7440.67436453997,1037.346418511748,13592.536033985178
2018-06-13,7394.125588578295,1421.651206265447,13142.132195813376
2018-06-14,7180.335365058498,1403.5328675269309,13501.766167153057
2018-06-15,7064.515606128898,1840.5381395458394,12927.749588471199
2018-06-16,6865.83623243941,716.2604675965433,12630.744104158512
2018-06-17,6723.694935616193,1075.0063512159725,12739.614269153928
2018-06-18,6667.311946976806,913.1436809142253,12460.611331542072
2018-06-19,6443.47987257121,905.7912350458247,12433.284641922113
2018-06-20,6355.021461411342,202.71012059563455,12516.25042914409
2018-06-21,6105.443095953795,426.1501124660527,11918.341902384453
2018-06-22,5961.080903968529,-229.5896521446574,11805.836627480216
2018-06-23,5742.086160751644,-172.0075200426811,11789.124659687335
2018-06-24,5588.672685049622,-473.53597544989236,11459.284010053705
2018-06-25,5530.693197480417,-382.57470649469843,11187.404484625607
2018-06-26,5315.375107411723,-1016.7301552449707,11042.414186973694
2018-06-27,5245.768888043378,-642.6555868445338,11109.587521644484
2018-06-28,5025.3970027325595,-725.337754029352,10672.950267826316
2018-06-29,4920.400333998806,-1140.9898555143618,11363.400461527353
2018-06-30,4750.5287153175705,-1239.68822996809,10831.920094566087
2018-07-01,4655.398082574152,-1389.535956974265,10880.195191234116
2018-07-02,4664.080916484624,-1421.2850289701678,10516.766135470836
2018-07-03,4522.860042785382,-1588.7054159506015,10549.527936528879
2018-07-04,4533.69846094983,-1394.183008935144,10521.614503030309
2018-07-05,4398.912599606625,-1407.7184786676155,10202.739861852517
2018-07-06,4383.345325051149,-1799.5598544998816,9902.384583361756
